,Name,TEAM,POS,Team,playerid,url,xpath,xpathIP_PA,Status
250,Marcus Semien,Oak,SS,Bluff Bunters,12533,http://www.fangraphs.com/statss.aspx?playerid=12533&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter
266,Max Scherzer,Wsh,P,Bluff Bunters,3137,http://www.fangraphs.com/statss.aspx?playerid=3137&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__33""]/td[8]",Starter
307,Ryan Dull,Oak,P,Bluff Bunters,13974,http://www.fangraphs.com/statss.aspx?playerid=13974&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[8]",Starter
342,Tyler Skaggs,LAA,P,Bluff Bunters,10190,http://www.fangraphs.com/statss.aspx?playerid=10190&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__27""]/td[8]",Starter
349,Wil Myers,SD ,1B,Bluff Bunters,10047,http://www.fangraphs.com/statss.aspx?playerid=10047&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[4]",Starter
350,Will Harris,Hou,P,Bluff Bunters,3192,http://www.fangraphs.com/statss.aspx?playerid=3192&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter
364,Carl Edwards Jr.,,P,Bluff Bunters,,http://www.fangraphs.com/statss.aspx?playerid=13607&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[8]",Bench
18,Alex Gordon,KC ,OF,Doubles or Nothin,5209,http://www.fangraphs.com/statss.aspx?playerid=5209&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__36""]/td[4]",Starter
25,Anthony Rendon,Wsh,3B,Doubles or Nothin,12861,http://www.fangraphs.com/statss.aspx?playerid=12861&position=2B/3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__23""]/td[4]",Starter
40,Brandon Kintzler,Min,P,Doubles or Nothin,9939,http://www.fangraphs.com/statss.aspx?playerid=9939&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Bench
80,Corey Seager,LAD,SS,Doubles or Nothin,13624,http://www.fangraphs.com/statss.aspx?playerid=13624&position=SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Starter
